timestamp,price
2012-09-11,10.65
2012-09-12,11.13
2012-09-13,11.3
2012-09-14,11.7
2012-09-15,11.6
2012-09-16,11.68
2012-09-17,11.84
2012-09-18,11.89
2012-09-19,12.4
2012-09-20,12.45
2012-09-21,12.35
2012-09-22,12.05
2012-09-23,11.86
2012-09-24,11.95
2012-09-25,11.85
2012-09-26,12.1
2012-09-27,12.25
2012-09-28,12.26
2012-09-29,12.22
2012-09-30,12.17
2012-10-01,12.08
2012-10-02,12.3
2012-10-03,12.9
2012-10-04,12.7
2012-10-05,12.64
2012-10-06,12.38
2012-10-07,11.75
2012-10-08,11.64
2012-10-09,11.89
2012-10-10,12.01
2012-10-11,11.78
2012-10-12,12.0
2012-10-13,11.82
2012-10-14,11.84
2012-10-15,11.49
2012-10-16,11.93
2012-10-17,11.9
2012-10-18,11.83
2012-10-19,11.65
2012-10-20,11.63
2012-10-21,11.58
2012-10-22,11.54
2012-10-23,11.49
2012-10-24,11.46
2012-10-25,10.85
2012-10-26,9.81
2012-10-27,10.62
2012-10-28,10.58
2012-10-29,10.59
2012-10-30,10.7
2012-10-31,10.75
2012-11-01,10.98
2012-11-02,10.68
2012-11-03,10.67
2012-11-04,10.53
2012-11-05,10.78
2012-11-06,10.57
2012-11-07,10.82
2012-11-08,10.8
2012-11-09,10.81
2012-11-10,10.87
2012-11-11,10.64
2012-11-12,10.85
2012-11-13,10.98
2012-11-14,10.98
2012-11-15,10.98
2012-11-16,11.56
2012-11-17,11.51
2012-11-18,11.57
2012-11-19,11.63
2012-11-20,11.63
2012-11-21,11.64
2012-11-22,12.11
2012-11-23,12.04
2012-11-24,12.17
2012-11-25,12.21
2012-11-26,12.23
2012-11-27,11.95
2012-11-28,12.2
2012-11-29,12.38
2012-11-30,12.42
2012-12-01,12.34
2012-12-02,12.45
2012-12-03,12.47
2012-12-04,12.77
2012-12-05,13.29
2012-12-06,13.27
2012-12-07,13.35
2012-12-08,13.34
2012-12-09,13.18
2012-12-10,13.28
2012-12-11,13.4
2012-12-12,13.39
2012-12-13,13.48
2012-12-14,13.52
2012-12-15,13.38
2012-12-16,13.27
2012-12-17,13.08
2012-12-18,13.05
2012-12-19,13.28
2012-12-20,13.44
2012-12-21,13.3
2012-12-22,13.2
2012-12-23,13.21
2012-12-24,13.03
2012-12-25,13.24
2012-12-26,13.16
2012-12-27,13.0
2012-12-28,13.13
2012-12-29,13.24
2012-12-30,13.29
2012-12-31,13.24
2013-01-01,13.1
2013-01-02,13.06
2013-01-03,13.1
2013-01-04,13.17
2013-01-05,13.14
2013-01-06,13.15
2013-01-07,13.2
2013-01-08,13.45
2013-01-09,13.61
2013-01-10,13.9
2013-01-11,14.03
2013-01-12,13.84
2013-01-13,13.94
2013-01-14,14.01
2013-01-15,14.22
2013-01-16,14.45
2013-01-17,15.36
2013-01-18,15.7
2013-01-19,15.32
2013-01-20,15.5
2013-01-21,16.32
2013-01-22,17.49
2013-01-23,17.58
2013-01-24,18.25
2013-01-25,17.3
2013-01-26,17.17
2013-01-27,17.54
2013-01-28,18.18
2013-01-29,19.16
2013-01-30,19.31
2013-01-31,20.79
2013-02-01,20.65
2013-02-02,20.19
2013-02-03,20.24
2013-02-04,20.34
2013-02-05,20.3
2013-02-06,20.89
2013-02-07,21.46
2013-02-08,22.3
2013-02-09,23.25
2013-02-10,23.47
2013-02-11,23.8
2013-02-12,25.76
2013-02-13,25.5
2013-02-14,26.68
2013-02-15,27.42
2013-02-16,27.09
2013-02-17,26.1
2013-02-18,26.81
2013-02-19,28.6
2013-02-20,29.8
2013-02-21,30.0
2013-02-22,31.48
2013-02-23,28.91
2013-02-24,30.28
2013-02-25,30.4
2013-02-26,31.41
2013-02-27,31.55
2013-02-28,33.98
2013-03-01,34.7
2013-03-02,34.18
2013-03-03,34.3
2013-03-04,36.51
2013-03-05,40.03
2013-03-06,48.0
2013-03-07,42.42
2013-03-08,43.78
2013-03-09,45.02
2013-03-10,46.2
2013-03-11,48.3
2013-03-12,44.89
2013-03-13,46.69
2013-03-14,47.39
2013-03-15,47.1
2013-03-16,47.0
2013-03-17,47.09
2013-03-18,47.67
2013-03-19,57.78
2013-03-20,65.49
2013-03-21,73.89
2013-03-22,71.03
2013-03-23,62.24
2013-03-24,70.8
2013-03-25,77.0
2013-03-26,77.89
2013-03-27,89.49
2013-03-28,94.5
2013-03-29,90.22
2013-03-30,92.4
2013-03-31,94.08
2013-04-01,103.99
2013-04-02,113.8
2013-04-03,133.7
2013-04-04,133.21
2013-04-05,142.0
2013-04-06,142.79
2013-04-07,158.28
2013-04-08,193.2
2013-04-09,229.5
2013-04-10,130.0
2013-04-11,60.01
2013-04-12,81.5
2013-04-13,87.0
2013-04-14,95.0
2013-04-15,87.0
2013-04-16,65.2
2013-04-17,87.03
2013-04-18,95.01
2013-04-19,117.0
2013-04-20,126.55
2013-04-21,121.36
2013-04-22,123.68
2013-04-23,134.5
2013-04-24,151.04
2013-04-25,145.5
2013-04-26,133.76
2013-04-27,127.03
2013-04-28,133.21
2013-04-29,142.35
2013-04-30,136.84
2013-05-01,110.66
2013-05-02,105.38
2013-05-03,91.27
2013-05-04,110.08
2013-05-05,115.63
2013-05-06,116.64
2013-05-07,106.99
2013-05-08,113.96
2013-05-09,112.5
2013-05-10,118.5
2013-05-11,115.38
2013-05-12,113.4
2013-05-13,116.73
2013-05-14,114.05
2013-05-15,109.36
2013-05-16,111.79
